Date,Sales,Month,DayOfWeek,Year,Week
2014-12-14,1675800.041,12,6,2014,50
2014-12-21,1902892.006,12,6,2014,51
2014-12-28,1626413.216,12,6,2014,52
2015-01-04,1431180.569,1,6,2015,1
2015-01-11,1370355.423,1,6,2015,2
2015-01-18,1219965.238,1,6,2015,3
2015-01-25,1224646.857,1,6,2015,4
2015-02-01,1292713.26,2,6,2015,5
2015-02-08,1365133.06,2,6,2015,6
2015-02-15,1192345.673,2,6,2015,7
2015-02-22,1368306.745,2,6,2015,8
2015-03-01,1367850.892,3,6,2015,9
2015-03-08,1456042.626,3,6,2015,10
2015-03-15,1346693.939,3,6,2015,11
2015-03-22,1340037.943,3,6,2015,12
2015-03-29,1310109.804,3,6,2015,13
2015-04-05,1527266.07,4,6,2015,14
2015-04-12,1374333.136,4,6,2015,15
2015-04-19,1349453.268,4,6,2015,16
2015-04-26,1288515.128,4,6,2015,17
2015-05-03,1455400.158,5,6,2015,18
2015-05-10,1417558.896,5,6,2015,19
2015-05-17,1371294.894,5,6,2015,20
2015-05-24,1316321.692,5,6,2015,21
2015-05-31,1434673.84,5,6,2015,22
2015-06-07,1561070.333,6,6,2015,23
2015-06-14,1319146.709,6,6,2015,24
2015-06-21,1309111.905,6,6,2015,25
2015-06-28,1307888.464,6,6,2015,26
2015-07-05,1592958.255,7,6,2015,27
2015-07-12,1431916.471,7,6,2015,28
2015-07-19,1344794.576,7,6,2015,29
2015-07-26,1320353.759,7,6,2015,30
2015-08-02,1486106.517,8,6,2015,31
2015-08-09,1418830.03,8,6,2015,32
2015-08-16,1514463.278,8,6,2015,33
2015-08-23,1375421.549,8,6,2015,34
2015-08-30,1395381.391,8,6,2015,35
2015-09-06,1792185.889,9,6,2015,36
2015-09-13,1470350.65,9,6,2015,37
2015-09-20,1467252.351,9,6,2015,38
2015-09-27,1400463.956,9,6,2015,39
2015-10-04,1764338.314,10,6,2015,40
2015-10-11,1627247.727,10,6,2015,41
2015-10-18,1519375.075,10,6,2015,42
2015-10-25,1451112.952,10,6,2015,43
2015-11-01,1412219.597,11,6,2015,44
2015-11-08,1783962.994,11,6,2015,45
2015-11-15,1469002.908,11,6,2015,46
2015-11-22,1475941.295,11,6,2015,47
2015-11-29,1468255.657,11,6,2015,48
2015-12-06,1865068.589,12,6,2015,49
2015-12-13,1745295.018,12,6,2015,50
2015-12-20,2076848.541,12,6,2015,51
2015-12-27,1915339.164,12,6,2015,52
2016-01-03,1645829.576,1,6,2016,53
2016-01-10,1694681.017,1,6,2016,1
2016-01-17,1451712.167,1,6,2016,2
2016-01-24,1423934.28,1,6,2016,3
2016-01-31,1448729.464,1,6,2016,4
2016-02-07,1576746.567,2,6,2016,5
2016-02-14,1540365.317,2,6,2016,6
2016-02-21,1507741.605,2,6,2016,7
2016-02-28,1462157.032,2,6,2016,8
2016-03-06,1817761.258,3,6,2016,9
2016-03-13,1501722.495,3,6,2016,10
2016-03-20,1476189.392,3,6,2016,11
2016-03-27,1420472.766,3,6,2016,12
2016-04-03,1734183.396,4,6,2016,13
2016-04-10,1623598.099,4,6,2016,14
2016-04-17,1639573.542,4,6,2016,15
2016-04-24,2766045.896,4,6,2016,16
2016-05-01,1758906.972,5,6,2016,17
2016-05-08,1840952.514,5,6,2016,18
2016-05-15,1591731.476,5,6,2016,19
2016-05-22,1525958.603,5,6,2016,20
2016-05-29,1518031.081,5,6,2016,21
2016-06-05,1925422.821,6,6,2016,22
2016-06-12,1525793.817,6,6,2016,23
2016-06-19,1535063.519,6,6,2016,24
2016-06-26,1478701.412,6,6,2016,25
2016-07-03,1656449.438,7,6,2016,26
2016-07-10,1623084.348,7,6,2016,27
2016-07-17,1448170.436,7,6,2016,28
2016-07-24,1452630.547,7,6,2016,29
2016-07-31,1511987.533,7,6,2016,30
2016-08-07,1685610.27,8,6,2016,31
2016-08-14,1387413.42,8,6,2016,32
2016-08-21,1479891.846,8,6,2016,33
2016-08-28,1390105.06,8,6,2016,34
2016-09-04,1703490.735,9,6,2016,35
2016-09-11,1598420.299,9,6,2016,36
2016-09-18,1469151.392,9,6,2016,37
2016-09-25,1442239.397,9,6,2016,38
2016-10-02,1666092.54,10,6,2016,39
2016-10-09,1705623.248,10,6,2016,40
2016-10-16,1537257.19,10,6,2016,41
2016-10-23,1484557.684,10,6,2016,42
2016-10-30,1420194.517,10,6,2016,43
2016-11-06,1874182.375,11,6,2016,44
2016-11-13,1705810.832,11,6,2016,45
2016-11-20,1681904.655,11,6,2016,46
2016-11-27,1623134.519,11,6,2016,47
2016-12-04,1943344.344,12,6,2016,48
2016-12-11,1962084.123,12,6,2016,49
2016-12-18,2116651.092,12,6,2016,50
2016-12-25,2363375.922,12,6,2016,51
2017-01-01,1709156.59,1,6,2017,52
2017-01-08,2132952.209,1,6,2017,1
2017-01-15,1644260.6,1,6,2017,2
2017-01-22,1633606.692,1,6,2017,3
2017-01-29,1579746.123,1,6,2017,4
2017-02-05,1866652.725,2,6,2017,5
2017-02-12,1636312.255,2,6,2017,6
2017-02-19,1602222.832,2,6,2017,7
2017-02-26,1606259.254,2,6,2017,8
2017-03-05,2029739.1,3,6,2017,9
2017-03-12,1761522.715,3,6,2017,10
2017-03-19,1707199.271,3,6,2017,11
2017-03-26,1728515.855,3,6,2017,12
2017-04-02,2005630.993,4,6,2017,13
2017-04-09,1869148.296,4,6,2017,14
2017-04-16,1725270.206,4,6,2017,15
2017-04-23,1691092.94,4,6,2017,16
2017-04-30,1672835.971,4,6,2017,17
2017-05-07,2093464.417,5,6,2017,18
2017-05-14,1693413.158,5,6,2017,19
2017-05-21,1812468.629,5,6,2017,20
2017-05-28,1721804.742,5,6,2017,21
2017-06-04,2024228.433,6,6,2017,22
2017-06-11,1874331.709,6,6,2017,23
2017-06-18,1723112.302,6,6,2017,24
2017-06-25,1682980.059,6,6,2017,25
2017-07-02,1809834.228,7,6,2017,26
2017-07-09,1826123.948,7,6,2017,27
2017-07-16,1625023.17,7,6,2017,28
2017-07-23,1659399.654,7,6,2017,29
2017-07-30,1719374.188,7,6,2017,30
2017-08-06,1932154.346,8,6,2017,31
2017-08-13,1598694.319,8,6,2017,32
2017-08-20,449563.819,8,6,2017,33
